"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.938498875E0	1.880022066E0	-5.430321456E0	-8.000990760E-1	5.801985230E0
2.948492875E0	1.152709788E0	-4.836917067E0	-1.230429590E0	5.122349417E0
2.958486125E0	3.529851165E-1	-1.674563625E0	-2.314000511E-1	1.726935961E0
2.968481125E0	1.323061619E0	-9.276220255E-2	2.268550104E-1	1.345570537E0
2.978475125E0	7.312001646E-1	5.973214379E-1	-1.237990040E-1	9.522461731E-1
2.988470125E0	-1.362057358E-1	1.528072455E0	-5.779200840E-1	1.639374592E0
2.998464125E0	-1.182437288E-1	2.131711517E0	-4.757955390E-1	2.187363016E0
3.008458125E0	2.997717630E-2	2.113174089E0	2.375250095E-1	2.126692618E0
3.018453125E0	2.563064124E-1	2.004341764E0	1.249728325E0	2.375899781E0
3.028447125E0	-1.696132542E-1	1.996374348E0	1.368437912E0	2.426293782E0
3.038441125E0	-4.226377122E0	-2.917748916E-1	8.163566744E-1	4.314375318E0
